,ts_code,symbol,name,counts,ab_counts,if_ab
2098,300659.SZ,300659,中孚信息,1,0,0
2115,300676.SZ,300676,华大基因,1,0,0
2176,300741.SZ,300741,华宝股份,2,0,0
2184,300750.SZ,300750,宁德时代,11,0,0
2193,300760.SZ,300760,迈瑞医疗,15,0,0
2214,300783.SZ,300783,三只松鼠,1,0,0
2215,300785.SZ,300785,值得买,5,0,0
2232,300803.SZ,300803,指南针,1,0,0
2259,300832.SZ,300832,新产业,1,0,0
2268,300842.SZ,300842,帝科股份,1,17,1
2273,300848.SZ,300848,美瑞新材,1,18,1
2304,300881.SZ,300881,盛德鑫泰,1,19,1
2317,300894.SZ,300894,火星人,1,19,1
2358,300939.SZ,300939,秋田微,2,18,1
2367,300949.SZ,300949,奥雅设计,1,18,1
2370,300952.SZ,300952,恒辉安防,2,16,1
2376,300959.SZ,300959,线上线下,3,9,1
2390,600016.SH,600016,民生银行,3,0,0
2402,600029.SH,600029,南方航空,6,1,1
2403,600030.SH,600030,中信证券,3,0,0
2404,600031.SH,600031,三一重工,4,0,0
2407,600036.SH,600036,招商银行,4,0,0
2409,600038.SH,600038,中直股份,1,0,0
2449,600093.SH,600093,易见股份,46,1,1
2465,600110.SH,600110,诺德股份,1,0,0
2470,600115.SH,600115,东方航空,14,0,0
2476,600121.SH,600121,郑州煤电,1,19,1
2484,600130.SH,600130,波导股份,2,0,0
2494,600143.SH,600143,金发科技,1,0,0
2513,600166.SH,600166,福田汽车,13,3,1
2522,600177.SH,600177,雅戈尔,46,0,0
2528,600184.SH,600184,光电股份,1,0,0
2532,600188.SH,600188,兖州煤业,11,0,0
2549,600208.SH,600208,新湖中宝,22,0,0
2553,600212.SH,600212,江泉实业,1,11,1
2560,600220.SH,600220,江苏阳光,2,0,0
2587,600252.SH,600252,中恒集团,1,0,0
2620,600292.SH,600292,远达环保,2,14,1
2622,600295.SH,600295,鄂尔多斯,1,14,1
2634,600309.SH,600309,万华化学,2,0,0
2640,600316.SH,600316,洪都航空,1,0,0
2659,600338.SH,600338,西藏珠峰,1,2,1
2686,600372.SH,600372,中航电子,1,0,0
2687,600373.SH,600373,中文传媒,1,0,0
2704,600392.SH,600392,盛和资源,1,14,1
2713,600405.SH,600405,动力源,5,3,1
2733,600438.SH,600438,通威股份,2,0,0
2764,600488.SH,600488,天药股份,1,0,0
2788,600516.SH,600516,方大炭素,1,7,1
2791,600519.SH,600519,贵州茅台,11,0,0
2797,600526.SH,600526,菲达环保,1,19,1
2806,600536.SH,600536,中国软件,1,0,0
2817,600550.SH,600550,保变电气,1,0,0
2821,600556.SH,600556,天下秀,1,1,1
2822,600557.SH,600557,康缘药业,2,0,0
2823,600558.SH,600558,大西洋,30,0,0
2824,600559.SH,600559,老白干酒,2,5,1
2825,600560.SH,600560,金自天正,2,0,0
2826,600561.SH,600561,江西长运,2,0,0
2827,600562.SH,600562,国睿科技,2,0,0
2828,600563.SH,600563,法拉电子,2,1,1
2829,600565.SH,600565,迪马股份,2,3,1
2830,600566.SH,600566,济川药业,2,0,0
2838,600575.SH,600575,淮河能源,1,0,0
2852,600589.SH,600589,广东榕泰,2,1,1
2862,600600.SH,600600,青岛啤酒,1,0,0
2872,600611.SH,600611,大众交通,1,0,0
2877,600617.SH,600617,国新能源,1,0,0
2881,600621.SH,600621,华鑫股份,1,0,0
2886,600628.SH,600628,新世界,1,0,0
2899,600643.SH,600643,爱建集团,1,0,0
2910,600655.SH,600655,豫园股份,1,0,0
2916,600663.SH,600663,陆家嘴,2,0,0
2931,600683.SH,600683,京投发展,1,0,0
2933,600685.SH,600685,中船防务,1,0,0
2946,600699.SH,600699,均胜电子,2,0,0
2947,600702.SH,600702,ST舍得,1,2,1
2952,600707.SH,600707,彩虹股份,1,10,1
2976,600732.SH,600732,爱旭股份,1,0,0
2977,600733.SH,600733,北汽蓝谷,4,3,1
2988,600744.SH,600744,华银电力,2,19,1
2989,600745.SH,600745,闻泰科技,1,0,0
2990,600746.SH,600746,江苏索普,1,11,1
2996,600754.SH,600754,锦江酒店,1,0,0
3002,600760.SH,600760,中航沈飞,1,1,1
3071,600837.SH,600837,海通证券,2,0,0
3080,600848.SH,600848,上海临港,1,0,0
3093,600863.SH,600863,内蒙华电,1,0,0
3101,600871.SH,600871,石化油服,1,0,0
3102,600872.SH,600872,中炬高新,1,1,1
3104,600874.SH,600874,创业环保,1,1,1
3105,600875.SH,600875,东方电气,1,0,0
3106,600876.SH,600876,洛阳玻璃,1,0,0
3116,600887.SH,600887,伊利股份,1,0,0
3121,600893.SH,600893,航发动力,3,1,1
3129,600903.SH,600903,贵州燃气,1,0,0
3131,600909.SH,600909,华安证券,1,0,0
3134,600918.SH,600918,中泰证券,2,1,1
3142,600956.SH,600956,新天绿能,1,19,1
3150,600966.SH,600966,博汇纸业,1,0,0
3164,600983.SH,600983,惠而浦,1,5,1
3176,600997.SH,600997,开滦股份,1,0,0
3178,600999.SH,600999,招商证券,2,0,0
3183,601005.SH,601005,重庆钢铁,2,3,1
3187,601009.SH,601009,南京银行,1,0,0
3190,601012.SH,601012,隆基股份,3,2,1
3198,601038.SH,601038,一拖股份,2,11,1
3205,601088.SH,601088,中国神华,1,1,1
3207,601099.SH,601099,太平洋,2,2,1
3213,601111.SH,601111,中国国航,6,0,0
3219,601127.SH,601127,小康股份,9,3,1
3220,601128.SH,601128,常熟银行,1,0,0
3226,601162.SH,601162,天风证券,4,0,0
3228,601166.SH,601166,兴业银行,2,0,0
3251,601236.SH,601236,红塔证券,1,0,0
3252,601238.SH,601238,广汽集团,1,0,0
3257,601318.SH,601318,中国平安,15,0,0
3263,601336.SH,601336,新华保险,1,0,0
3265,601360.SH,601360,三六零,2,0,0
3270,601377.SH,601377,兴业证券,1,0,0
3271,601388.SH,601388,怡球资源,1,13,1
3272,601390.SH,601390,中国中铁,1,0,0
3273,601398.SH,601398,工商银行,1,0,0
3280,601519.SH,601519,大智慧,1,0,0
3291,601600.SH,601600,中国铝业,2,0,0
3292,601601.SH,601601,中国太保,2,0,0
3302,601628.SH,601628,中国人寿,13,0,0
3303,601633.SH,601633,长城汽车,3,1,1
3305,601658.SH,601658,邮储银行,2,0,0
3307,601668.SH,601668,中国建筑,1,0,0
3318,601702.SH,601702,华峰铝业,30,18,1
3325,601788.SH,601788,光大证券,2,0,0
3334,601818.SH,601818,光大银行,1,0,0
3338,601857.SH,601857,中国石油,13,0,0
3358,601916.SH,601916,浙商银行,1,0,0
3360,601919.SH,601919,中远海控,1,5,1
3363,601933.SH,601933,永辉超市,1,0,0
3364,601939.SH,601939,建设银行,1,0,0
3369,601963.SH,601963,重庆银行,30,19,1
3376,601988.SH,601988,中国银行,1,0,0
3381,601995.SH,601995,中金公司,4,11,1
3384,601998.SH,601998,中信银行,1,0,0
3386,603000.SH,603000,人民网,3,0,0
3474,603126.SH,603126,中材节能,1,19,1
3535,603259.SH,603259,药明康德,1,0,0
3639,603518.SH,603518,锦泓集团,3,1,1
3648,603538.SH,603538,美诺华,1,0,0
3652,603557.SH,603557,起步股份,1,8,1
3678,603603.SH,603603,博天环境,2,19,1
3691,603618.SH,603618,杭电股份,1,0,0
3707,603658.SH,603658,安图生物,1,0,0
3735,603698.SH,603698,航天工程,1,3,1
3760,603737.SH,603737,三棵树,1,0,0
3767,603766.SH,603766,隆鑫通用,2,0,0
3773,603778.SH,603778,乾景园林,1,13,1
3793,603816.SH,603816,顾家家居,2,0,0
3827,603883.SH,603883,老百姓,3,0,0
3831,603888.SH,603888,新华网,2,0,0
3851,603919.SH,603919,金徽酒,1,7,1
3901,605005.SH,605005,合兴股份,1,19,1
3941,605208.SH,605208,永茂泰,2,19,1
3954,605303.SH,605303,园林股份,1,19,1
3982,688012.SH,688012,中微公司,1,0,0
4014,688068.SH,688068,热景生物,4,1,1
4124,688363.SH,688363,华熙生物,1,0,0
4125,688365.SH,688365,光云科技,1,0,0
4177,688585.SH,688585,上纬新材,1,13,1
4185,688599.SH,688599,天合光能,1,0,0
4199,688661.SH,688661,N和林,1,4,1
4200,688665.SH,688665,四方光电,1,18,1
4218,688981.SH,688981,中芯国际-U,2,0,0
