,ts_code,symbol,name
179,000606.SZ,000606,顺利办
180,000607.SZ,000607,华媒控股
181,000608.SZ,000608,阳光股份
182,000609.SZ,000609,中迪投资
183,000610.SZ,000610,西安旅游
184,000611.SZ,000611,ST天首
185,000612.SZ,000612,焦作万方
186,000613.SZ,000613,大东海A
187,000615.SZ,000615,奥园美谷
188,000616.SZ,000616,海航投资
189,000617.SZ,000617,中油资本
190,000619.SZ,000619,海螺型材
191,000620.SZ,000620,新华联
192,000622.SZ,000622,恒立实业
193,000623.SZ,000623,吉林敖东
194,000625.SZ,000625,长安汽车
195,000626.SZ,000626,远大控股
196,000627.SZ,000627,天茂集团
197,000628.SZ,000628,高新发展
198,000629.SZ,000629,攀钢钒钛
199,000630.SZ,000630,铜陵有色
200,000631.SZ,000631,顺发恒业
201,000632.SZ,000632,三木集团
202,000633.SZ,000633,合金投资
203,000635.SZ,000635,英力特
204,000636.SZ,000636,风华高科
205,000637.SZ,000637,茂化实华
206,000638.SZ,000638,万方发展
207,000639.SZ,000639,西王食品
208,000650.SZ,000650,仁和药业
209,000651.SZ,000651,格力电器
210,000652.SZ,000652,泰达股份
211,000655.SZ,000655,金岭矿业
212,000656.SZ,000656,金科股份
213,000657.SZ,000657,中钨高新
214,000659.SZ,000659,珠海中富
215,000661.SZ,000661,长春高新
216,000662.SZ,000662,天夏退
217,000663.SZ,000663,*ST永林
218,000665.SZ,000665,湖北广电
219,000666.SZ,000666,经纬纺机
220,000667.SZ,000667,美好置业
221,000668.SZ,000668,荣丰控股
222,000669.SZ,000669,*ST金鸿
223,000671.SZ,000671,阳光城
224,000672.SZ,000672,上峰水泥
225,000673.SZ,000673,*ST当代
226,000676.SZ,000676,智度股份
227,000677.SZ,000677,恒天海龙
228,000678.SZ,000678,襄阳轴承
229,000679.SZ,000679,*ST友谊
230,000680.SZ,000680,山推股份
231,000681.SZ,000681,视觉中国
232,000682.SZ,000682,东方电子
233,000683.SZ,000683,远兴能源
234,000685.SZ,000685,中山公用
235,000686.SZ,000686,东北证券
236,000687.SZ,000687,*ST华讯
237,000688.SZ,000688,国城矿业
238,000690.SZ,000690,宝新能源
239,000691.SZ,000691,亚太实业
240,000692.SZ,000692,惠天热电
241,000695.SZ,000695,滨海能源
242,000697.SZ,000697,炼石航空
243,000698.SZ,000698,沈阳化工
244,000700.SZ,000700,模塑科技
245,000701.SZ,000701,厦门信达
246,000702.SZ,000702,正虹科技
247,000703.SZ,000703,恒逸石化
248,000705.SZ,000705,浙江震元
249,000707.SZ,000707,ST双环
250,000708.SZ,000708,中信特钢
251,000709.SZ,000709,河钢股份
252,000710.SZ,000710,贝瑞基因
253,000711.SZ,000711,京蓝科技
254,000712.SZ,000712,锦龙股份
255,000713.SZ,000713,丰乐种业
256,000715.SZ,000715,中兴商业
257,000716.SZ,000716,黑芝麻
258,000717.SZ,000717,韶钢松山
259,000718.SZ,000718,苏宁环球
260,000719.SZ,000719,中原传媒
261,000720.SZ,000720,新能泰山
262,000721.SZ,000721,西安饮食
263,000722.SZ,000722,湖南发展
264,000723.SZ,000723,美锦能源
265,000725.SZ,000725,京东方A
266,000726.SZ,000726,鲁泰A
267,000727.SZ,000727,*ST东科
268,000728.SZ,000728,国元证券
269,000729.SZ,000729,燕京啤酒
270,000731.SZ,000731,四川美丰
271,000732.SZ,000732,泰禾集团
272,000733.SZ,000733,振华科技
273,000735.SZ,000735,罗牛山
274,000736.SZ,000736,中交地产
275,000737.SZ,000737,ST南风
276,000738.SZ,000738,航发控制
277,000739.SZ,000739,普洛药业
278,000750.SZ,000750,国海证券
279,000751.SZ,000751,锌业股份
280,000752.SZ,000752,*ST西发
281,000753.SZ,000753,漳州发展
282,000755.SZ,000755,山西路桥
283,000756.SZ,000756,新华制药
284,000757.SZ,000757,浩物股份
285,000758.SZ,000758,中色股份
286,000759.SZ,000759,中百集团
287,000761.SZ,000761,本钢板材
288,000762.SZ,000762,西藏矿业
289,000766.SZ,000766,通化金马
290,000767.SZ,000767,晋控电力
291,000768.SZ,000768,中航西飞
292,000776.SZ,000776,广发证券
293,000777.SZ,000777,中核科技
294,000778.SZ,000778,新兴铸管
295,000779.SZ,000779,甘咨询
296,000780.SZ,000780,*ST平能
297,000782.SZ,000782,美达股份
298,000783.SZ,000783,长江证券
299,000785.SZ,000785,居然之家
300,000786.SZ,000786,北新建材
301,000788.SZ,000788,北大医药
302,000789.SZ,000789,万年青
303,000790.SZ,000790,华神科技
304,000791.SZ,000791,甘肃电投
305,000793.SZ,000793,华闻集团
306,000795.SZ,000795,英洛华
307,000796.SZ,000796,凯撒旅业
308,000797.SZ,000797,中国武夷
309,000798.SZ,000798,中水渔业
310,000799.SZ,000799,酒鬼酒
311,000800.SZ,000800,一汽解放
312,000801.SZ,000801,四川九洲
313,000802.SZ,000802,北京文化
314,000803.SZ,000803,北清环能
315,000806.SZ,000806,*ST银河
316,000807.SZ,000807,云铝股份
317,000809.SZ,000809,铁岭新城
318,000810.SZ,000810,创维数字
319,000811.SZ,000811,冰轮环境
320,000812.SZ,000812,陕西金叶
321,000813.SZ,000813,德展健康
322,000815.SZ,000815,美利云
323,000816.SZ,000816,智慧农业
324,000818.SZ,000818,航锦科技
325,000819.SZ,000819,岳阳兴长
326,000820.SZ,000820,*ST节能
327,000821.SZ,000821,京山轻机
328,000822.SZ,000822,山东海化
329,000823.SZ,000823,超声电子
330,000825.SZ,000825,太钢不锈
331,000826.SZ,000826,启迪环境
332,000828.SZ,000828,东莞控股
333,000829.SZ,000829,天音控股
334,000830.SZ,000830,鲁西化工
335,000831.SZ,000831,五矿稀土
336,000833.SZ,000833,粤桂股份
337,000835.SZ,000835,*ST长动
338,000836.SZ,000836,富通信息
339,000837.SZ,000837,*ST秦机
340,000838.SZ,000838,财信发展
341,000839.SZ,000839,中信国安
342,000848.SZ,000848,承德露露
343,000850.SZ,000850,华茂股份
344,000851.SZ,000851,高鸿股份
345,000852.SZ,000852,石化机械
346,000856.SZ,000856,冀东装备
347,000858.SZ,000858,五粮液
348,000859.SZ,000859,国风塑业
349,000860.SZ,000860,顺鑫农业
350,000861.SZ,000861,海印股份
351,000862.SZ,000862,银星能源
352,000863.SZ,000863,三湘印象
353,000868.SZ,000868,ST安凯
354,000869.SZ,000869,张裕A
355,000875.SZ,000875,吉电股份
356,000876.SZ,000876,新希望
357,000877.SZ,000877,天山股份
358,000878.SZ,000878,云南铜业
359,000880.SZ,000880,潍柴重机
360,000881.SZ,000881,中广核技
361,000882.SZ,000882,华联股份
362,000883.SZ,000883,湖北能源
363,000885.SZ,000885,城发环境
364,000886.SZ,000886,海南高速
365,000887.SZ,000887,中鼎股份
366,000888.SZ,000888,峨眉山A
367,000889.SZ,000889,中嘉博创
368,000890.SZ,000890,*ST胜尔
369,000892.SZ,000892,欢瑞世纪
370,000893.SZ,000893,亚钾国际
371,000895.SZ,000895,双汇发展
372,000897.SZ,000897,津滨发展
373,000898.SZ,000898,鞍钢股份
374,000899.SZ,000899,赣能股份
375,000900.SZ,000900,现代投资
376,000901.SZ,000901,航天科技
377,000902.SZ,000902,新洋丰
378,000903.SZ,000903,云内动力
379,000905.SZ,000905,厦门港务
380,000906.SZ,000906,浙商中拓
381,000908.SZ,000908,景峰医药
382,000909.SZ,000909,数源科技
383,000910.SZ,000910,大亚圣象
384,000911.SZ,000911,南宁糖业
385,000912.SZ,000912,泸天化
386,000913.SZ,000913,钱江摩托
387,000915.SZ,000915,山大华特
388,000917.SZ,000917,电广传媒
389,000918.SZ,000918,嘉凯城
390,000919.SZ,000919,金陵药业
391,000920.SZ,000920,南方汇通
392,000921.SZ,000921,海信家电
393,000922.SZ,000922,佳电股份
394,000923.SZ,000923,河钢资源
395,000925.SZ,000925,众合科技
396,000926.SZ,000926,福星股份
397,000927.SZ,000927,中国铁物
398,000928.SZ,000928,中钢国际
399,000929.SZ,000929,兰州黄河
400,000930.SZ,000930,中粮科技
401,000931.SZ,000931,中关村
402,000932.SZ,000932,华菱钢铁
403,000933.SZ,000933,神火股份
404,000935.SZ,000935,四川双马
405,000936.SZ,000936,华西股份
406,000937.SZ,000937,冀中能源
407,000938.SZ,000938,紫光股份
408,000948.SZ,000948,南天信息
409,000949.SZ,000949,新乡化纤
410,000950.SZ,000950,重药控股
411,000951.SZ,000951,中国重汽
412,000952.SZ,000952,广济药业
413,000953.SZ,000953,*ST河化
414,000955.SZ,000955,欣龙控股
415,000957.SZ,000957,中通客车
416,000958.SZ,000958,东方能源
417,000959.SZ,000959,首钢股份
418,000960.SZ,000960,锡业股份
419,000961.SZ,000961,中南建设
420,000962.SZ,000962,东方钽业
421,000963.SZ,000963,华东医药
422,000965.SZ,000965,天保基建
423,000966.SZ,000966,长源电力
424,000967.SZ,000967,盈峰环境
425,000968.SZ,000968,蓝焰控股
426,000969.SZ,000969,安泰科技
427,000970.SZ,000970,中科三环
428,000971.SZ,000971,*ST高升
429,000972.SZ,000972,ST中基
430,000973.SZ,000973,佛塑科技
431,000975.SZ,000975,银泰黄金
432,000976.SZ,000976,华铁股份
433,000977.SZ,000977,浪潮信息
434,000978.SZ,000978,桂林旅游
435,000980.SZ,000980,*ST众泰
436,000981.SZ,000981,*ST银亿
437,000982.SZ,000982,*ST中绒
438,000983.SZ,000983,山西焦煤
439,000985.SZ,000985,大庆华科
440,000987.SZ,000987,越秀金控
441,000988.SZ,000988,华工科技
442,000989.SZ,000989,九芝堂
443,000990.SZ,000990,诚志股份
444,000993.SZ,000993,闽东电力
445,000995.SZ,000995,皇台酒业
446,000996.SZ,000996,中国中期
447,000997.SZ,000997,新大陆
448,000998.SZ,000998,隆平高科
449,000999.SZ,000999,华润三九
450,001696.SZ,001696,宗申动力
451,001872.SZ,001872,招商港口
452,001896.SZ,001896,豫能控股
453,001914.SZ,001914,招商积余
454,001965.SZ,001965,招商公路
455,001979.SZ,001979,招商蛇口
456,002001.SZ,002001,新和成
457,002002.SZ,002002,鸿达兴业
458,002003.SZ,002003,伟星股份
459,002004.SZ,002004,华邦健康
460,002005.SZ,002005,ST德豪
461,002006.SZ,002006,精功科技
462,002007.SZ,002007,华兰生物
463,002008.SZ,002008,大族激光
464,002009.SZ,002009,天奇股份
465,002010.SZ,002010,传化智联
466,002011.SZ,002011,盾安环境
467,002012.SZ,002012,凯恩股份
468,002013.SZ,002013,中航机电
469,002014.SZ,002014,永新股份
470,002015.SZ,002015,协鑫能科
471,002016.SZ,002016,世荣兆业
472,002017.SZ,002017,东信和平
473,002019.SZ,002019,亿帆医药
474,002020.SZ,002020,京新药业
475,002021.SZ,002021,ST中捷
476,002022.SZ,002022,科华生物
477,002023.SZ,002023,海特高新
478,002024.SZ,002024,苏宁易购
479,002025.SZ,002025,航天电器
480,002026.SZ,002026,山东威达
481,002027.SZ,002027,分众传媒
482,002028.SZ,002028,思源电气
483,002029.SZ,002029,七匹狼
484,002030.SZ,002030,达安基因
485,002031.SZ,002031,巨轮智能
486,002032.SZ,002032,苏泊尔
487,002033.SZ,002033,丽江股份
488,002034.SZ,002034,旺能环境
489,002035.SZ,002035,华帝股份
