url,website,path_len,num_sign,num_upper_char,num_lower_char,num_number,edit-dis,leven-ratio,jw-dis,edit-dis,leven-ratio,jw-dis,edit-dis,leven-ratio,jw-dis
data.eastmoney.com/report/,stock.eastmoney.com,26,4,0,22,0,13,0.6666666666666666,0.6629132928475033,13,0.6666666666666666,0.6629132928475033,13,0.6666666666666666,0.6629132928475033
data.eastmoney.com/report/zw_stock.jshtml?encodeUrl=zXF5Zl6XRyYdSx1spWVTCqDhUpdvWCPeqRcR2Jjm0qE=,stock.eastmoney.com,95,7,21,61,5,83,0.2608695652173913,0.5133406432748538,83,0.2608695652173913,0.5133406432748538,83,0.2608695652173913,0.5133406432748538
data.eastmoney.com/report/zw_stock.jshtml?encodeUrl=zXF5Zl6XRyYdSx1spWVTChdplNKYIkjb+RNQRDyrJCo=,stock.eastmoney.com,95,7,23,60,3,83,0.2608695652173913,0.5133406432748538,83,0.2608695652173913,0.5133406432748538,83,0.2608695652173913,0.5133406432748538
data.eastmoney.com/report/,stock.eastmoney.com,26,4,0,22,0,13,0.6666666666666666,0.6629132928475033,13,0.6666666666666666,0.6629132928475033,13,0.6666666666666666,0.6629132928475033
data.eastmoney.com/zjlx/detail.html,stock.eastmoney.com,35,5,0,30,0,22,0.5555555555555556,0.5949039264828738,22,0.5555555555555556,0.5949039264828738,22,0.5555555555555556,0.5949039264828738
data.eastmoney.com/cjsj/gpkhsj.html,stock.eastmoney.com,35,5,0,30,0,22,0.5555555555555556,0.5949039264828738,22,0.5555555555555556,0.5949039264828738,22,0.5555555555555556,0.5949039264828738
data.eastmoney.com/cjsj/gpjytj.html,stock.eastmoney.com,35,5,0,30,0,22,0.5555555555555556,0.5949039264828738,22,0.5555555555555556,0.5949039264828738,22,0.5555555555555556,0.5949039264828738
data.eastmoney.com/bkzj/hy.html,stock.eastmoney.com,31,5,0,26,0,18,0.6,0.613337106206376,18,0.6,0.613337106206376,18,0.6,0.613337106206376
quote.eastmoney.com/center/gridlist.html#futures_cffex,stock.eastmoney.com,53,7,0,47,0,39,0.410958904109589,0.6294671864847303,39,0.410958904109589,0.6294671864847303,39,0.410958904109589,0.6294671864847303
quote.eastmoney.com/center/qqzs.html,stock.eastmoney.com,36,5,0,31,0,21,0.5454545454545454,0.6788499025341131,21,0.5454545454545454,0.6788499025341131,21,0.5454545454545454,0.6788499025341131
zqhd.18.cn/index.html?ad_id=web_kh_dcsy_jycdl_01_01_01_1,stock.eastmoney.com,55,13,0,33,9,49,0.18666666666666668,0.331140350877193,49,0.18666666666666668,0.331140350877193,49,0.18666666666666668,0.331140350877193
data.eastmoney.com/zjlx/dpzjlx.html,stock.eastmoney.com,35,5,0,30,0,22,0.5555555555555556,0.5949039264828738,22,0.5555555555555556,0.5949039264828738,22,0.5555555555555556,0.5949039264828738
data.eastmoney.com/bbsj/,stock.eastmoney.com,24,4,0,20,0,11,0.6976744186046512,0.6603801169590644,11,0.6976744186046512,0.6603801169590644,11,0.6976744186046512,0.6603801169590644
fund.eastmoney.com/,stock.eastmoney.com,19,3,0,16,0,6,0.7368421052631579,0.6817042606516291,6,0.7368421052631579,0.6817042606516291,6,0.7368421052631579,0.6817042606516291
quote.eastmoney.com/zixuan/?from=favor,stock.eastmoney.com,37,5,0,32,0,23,0.5263157894736842,0.6710526315789473,23,0.5263157894736842,0.6710526315789473,23,0.5263157894736842,0.6710526315789473
quote.eastmoney.com/center/gridlist.html#gem_board,stock.eastmoney.com,49,7,0,43,0,35,0.43478260869565216,0.6373684210526317,35,0.43478260869565216,0.6373684210526317,35,0.43478260869565216,0.6373684210526317
quote.eastmoney.com/center/gridlist.html#neeq_stocks,stock.eastmoney.com,51,7,0,45,0,37,0.4225352112676056,0.6332658569500674,37,0.4225352112676056,0.6332658569500674,37,0.4225352112676056,0.6332658569500674
quote.eastmoney.com/center/gridlist.html#hkah_comparison,stock.eastmoney.com,55,7,0,49,0,41,0.4,0.6259398496240601,41,0.4,0.6259398496240601,41,0.4,0.6259398496240601
